Name, Oil , Iron , Titanium , Uranium , Money , Fuel 
OUTofCAGE," 54,051,382 "," 40,974,955 "," 4,008,066 "," 6,764,631 "," 35,358,893 "," 21,694,795 "
HQ_AGENT," 13,721,232 "," 14,532,395 ", 150 ," 80,717 "," 16,587,599 "," 7,149,658 "
HQ_ShowMeYoTatas," 26,033,321 "," 5,177,104 "," 1,508 "," 1,055,079 "," 26,971,438 "," 27,085,420 "
hQ_RedBeard_," 66,188,840 "," 33,661,022 "," 96,322 "," 2,083,882 "," 29,606,168 "," 18,706,783 "
HQ_DRE," 29,407,780 "," 6,144,955 "," 153,137 "," 2,347,178 "," 50,896,440 "," 74,016,405 "
HQ_Boxerqueen," 19,146,593 "," 4,035,148 "," 8,581 "," 536,893 "," 30,711,459 "," 20,844,669 "
HQ_BDAWG24," 134,884,812 "," 93,727,587 "," 2,914,870 "," 5,247,190 "," 86,812,907 "," 94,809,497 "
HQ_Unethical," 15,079,537 "," 9,017,460 ", -   , -   ," 19,260,662 "," 31,309,932 "
agBAGtit," 28,255,250 "," 13,962,131 ", -   ," 701,758 "," 8,063,657 "," 313,617 "
HQ-GhostBag," 5,318,090 "," 1,342,666 "," 29,751 "," 2,039,913 "," 34,622,635 "," 36,749,522 "
BBQ-Ptolemus," 23,496,262 "," 4,234,640 ", -   , -   ," 44,481,845 "," 28,416,871 "
HQ_RenegadeWar," 16,726,794 "," 9,814,977 "," 6,647 "," 697,229 "," 34,034,071 "," 4,715,838 "
BigBonsai," 3,980,016 "," 1,437,819 "," 6,652 "," 3,307,595 "," 47,140,622 "," 5,994,954 "
HQ_FK-AM-STRATS_," 21,138,590 "," 17,219,940 "," 205,864 "," 2,674,658 "," 18,454,226 "," 20,444,498 "
HQ_BAGwis," 1,705,830 ", -   , -   ," 601,196 "," 29,064,611 "," 7,982,159 "
HQ_FAQ_TACO," 3,490,782 "," 716,170 "," 197,463 "," 246,176 "," 3,028,546 "," 3,371,982 "
HQ_Methos," 9,694,105 "," 6,766,485 ", -   ," 309,853 "," 9,751,337 "," 8,911,727 "
HQ_t-weed-y," 33,556,252 "," 19,010,239 ", -   ," 1,009,711 "," 17,498,588 "," 44,402,980 "
HQ_BAGINURFACE," 6,642,800 "," 2,154,636 "," 333,645 "," 2,755,470 "," 12,764,740 "," 10,373,274 "
TheNewCage," 10,624,454 "," 8,565,357 "," 1,050,483 "," 2,053,282 "," 12,425,801 "," 1,856,021 "
HQ_Steel," 8,080,395 "," 7,184,950 ", -   , -   ," 4,485,880 "," 2,277,337 "
HQ_MrRodgers," 2,277,999 "," 1,309,486 "," 403,359 "," 1,687,977 "," 6,317,409 "," 7,965,612 "
HQ_falco," 1,368,403 ", -   , -   ," 597,900 "," 8,454,690 "," 6,239,178 "
HQ_Pantera," 4,005,949 "," 38,512 "," 71,309 "," 1,512,861 "," 19,827,960 "," 10,105,830 "
HQ_iSAAAY," 4,457,712 "," 3,609,942 "," 1,434,893 "," 3,156,414 "," 7,670,998 "," 13,929,635 "
HQ_finish," 4,665,807 "," 7,814,942 "," 2,006 "," 732,693 "," 11,056,675 "," 10,991,679 "
HQ_bigbanana," 1,528,267 "," 5,699 "," 705,705 "," 700,956 "," 14,327,759 "," 5,959,281 "
HQ_Kukuchi," 3,649,117 "," 8,256,079 ", -   ," 102,532 "," 7,298,149 "," 2,912,028 "
HQ_BASTARD," 3,365,712 ", -   , 403 ," 833,697 "," 32,030,256 "," 12,313,384 "
HQ_RedBush," 3,012,960 "," 1,376,928 ", 162 ," 147,174 "," 27,423,296 "," 5,442,622 "
HQ_Frank_White," 11,555,195 "," 3,673,901 ", -   ," 84,260 "," 22,333,140 "," 13,678,776 "
HQ_DerJoker," 2,039,454 "," 2,106,138 "," 7,509 "," 104,796 "," 7,024,821 "," 7,800,420 "
HQ_SuckMyCrabbs," 1,939,058 "," 1,447,337 ", 149 , -   ," 1,138,098 "," 18,273,994 "
HQ_dangerman," 651,839 "," 361,535 ", 210 , 210 ," 4,561,796 "," 4,030,162 "
HQ_UNSULLIED," 2,499,213 "," 2,280,134 "," 841,322 "," 1,623,679 "," 7,751,489 "," 3,955,684 "
DaDDyRaLpH," 5,080,843 "," 1,396,030 "," 1,859,958 "," 2,237,629 "," 35,005,243 ", -   
MANIAC-HQ," 1,842,548 "," 841,644 ", -   , -   ," 7,255,196 "," 6,924,378 "
HQ_Misfit," 2,475,913 "," 2,693,219 ", -   ," 130,527 "," 11,421,937 ", -   
AL," 3,285,881 "," 3,003,687 "," 188,814 "," 913,548 "," 11,947,287 "," 6,408,803 "
BendOverStrats," 1,379,273 "," 1,160,990 "," 221,737 "," 402,929 "," 3,555,402 "," 5,547,283 "
Saints-DGAF," 512,858 ", -   , -   ," 794,577 "," 4,774,744 ", -   
HQ-Steve," 2,684,630 "," 1,565,262 ", -   ," 181,030 "," 3,216,831 "," 700,011 "
HQ_270deadly," 5,472,375 "," 2,169,806 "," 531,076 "," 432,211 "," 3,827,742 "," 365,731 "
HQ-HD," 2,046,878 "," 527,340 ", 356 , -   ," 5,454,410 "," 1,008,863 "
HQ_Random," 1,275,744 ", -   , -   ," 479,488 "," 1,563,430 ", -   
HQ_serial_bper," 496,571 ", -   , -   ," 551,035 ", -   , -   
HQ-BLACK," 151,562 "," 746,670 ", -   , -   ," 1,638,920 "," 768,258 "
